id,apartment_id,period,enabled
1,1,2024-10,true
2,1,2024-11,true
3,1,2024-12,true
4,1,2025-01,false
5,1,2025-02,false
6,1,2025-03,false
7,1,2025-04,true
8,1,2025-05,true
9,1,2025-06,false
10,1,2025-07,false
11,1,2025-08,false
12,1,2025-09,false
13,1,2025-10,false
14,1,2025-11,false
15,1,2025-12,false
16,2,2025-01,true
17,2,2025-02,true
18,2,2025-03,true
19,2,2025-04,true
20,2,2025-05,true
21,2,2025-06,false
22,2,2025-07,false
23,2,2025-08,false
24,2,2025-09,false
25,2,2025-10,true
26,2,2025-11,true
27,2,2025-12,true
28,3,2025-01,false
29,3,2025-02,false
30,3,2025-03,false
31,3,2025-04,true
32,3,2025-05,true
33,3,2025-06,false
34,3,2025-07,false
35,3,2025-08,false
36,3,2025-09,false
37,3,2025-10,true
38,3,2025-11,true
39,3,2025-12,false
40,4,2025-01,false
41,4,2025-02,true
42,4,2025-03,true
43,4,2025-04,true
44,4,2025-05,true
45,4,2025-06,false
46,4,2025-07,false
47,4,2025-08,false
48,4,2025-09,false
49,4,2025-10,true
50,4,2025-11,true
51,4,2025-12,true
52,5,2025-01,true
53,5,2025-02,false
54,5,2025-03,false
55,5,2025-04,true
56,5,2025-05,true
57,5,2025-06,false
58,5,2025-07,false
59,5,2025-08,false
60,5,2025-09,false
61,5,2025-10,true
62,5,2025-11,false
63,5,2025-12,false
64,6,2025-01,true
65,6,2025-02,true
66,6,2025-03,false
67,6,2025-04,false
68,6,2025-05,false
69,6,2025-06,false
70,6,2025-07,false
71,6,2025-08,false
72,6,2025-09,false
73,6,2025-10,true
74,6,2025-11,true
75,6,2025-12,false
76,8,2025-01,false
77,8,2025-02,false
78,8,2025-03,false
79,8,2025-04,false
80,8,2025-05,true
81,8,2025-06,false
82,8,2025-07,false
83,8,2025-08,false
84,8,2025-09,false
85,8,2025-10,true
86,8,2025-11,true
87,8,2025-12,false
88,7,2025-01,false
89,7,2025-02,false
90,7,2025-03,false
91,7,2025-04,false
92,7,2025-05,false
93,7,2025-06,false
94,7,2025-07,false
95,7,2025-08,false
96,7,2025-09,false
97,7,2025-10,true
98,7,2025-11,true
99,7,2025-12,true
100,10,2025-01,false
101,10,2025-02,false
102,10,2025-03,false
103,10,2025-04,false
104,10,2025-05,false
105,10,2025-06,false
106,10,2025-07,false
107,10,2025-08,false
108,10,2025-09,false
109,10,2025-10,true
110,10,2025-11,true
111,10,2025-12,true
112,9,2025-01,false
113,9,2025-02,false
114,9,2025-03,false
115,9,2025-04,false
116,9,2025-05,false
117,9,2025-06,false
118,9,2025-07,false
119,9,2025-08,false
120,9,2025-09,false
121,9,2025-10,true
122,9,2025-11,true
123,9,2025-12,false
